id,disaster_type,affected_people,location_risk_score,medical_needed,water_needed,food_needed,vulnerable_population,time_elapsed_hours,priority
REQ-10001,cyclone,4,2.5,0,1,1,1,23.8,critical
REQ-10002,cyclone,2,4.45,0,0,0,1,9.2,medium
REQ-10003,tsunami,13,9.22,0,1,0,1,35.2,critical
REQ-10004,earthquake,1,6.33,0,0,1,1,17.4,high
REQ-10005,flood,6,1.26,1,1,1,1,33.5,critical
REQ-10006,cyclone,4,8.75,1,0,1,1,50.9,critical
REQ-10007,landslide,2,5.84,0,1,0,0,33.3,high
REQ-10008,flood,35,5.1,0,1,1,0,7.7,critical
REQ-10009,landslide,44,3.78,0,0,1,0,68.4,high
REQ-10010,landslide,7,6.25,1,1,1,1,30.2,critical
REQ-10011,wildfire,21,7.99,0,1,1,0,38.7,high
REQ-10012,earthquake,5,5.99,0,0,0,0,9.7,medium
REQ-10013,wildfire,2,5.93,1,0,0,0,57.2,high
REQ-10014,landslide,3,1.44,0,1,0,1,12.2,high
REQ-10015,cyclone,14,2.8,0,0,0,0,18.9,medium
REQ-10016,wildfire,46,6.39,1,0,1,0,18.3,critical
REQ-10017,cyclone,37,5.43,0,1,1,1,71.7,critical
REQ-10018,landslide,3,6.69,0,1,1,1,30.4,critical
REQ-10019,wildfire,3,9.5,1,1,0,1,48.4,critical
REQ-10020,tsunami,9,6.11,1,1,0,0,33.2,critical
REQ-10021,landslide,5,4.78,0,1,1,0,20.7,high
REQ-10022,wildfire,2,9.53,0,1,1,0,2.0,high
REQ-10023,wildfire,279,4.47,0,0,1,1,8.0,critical
REQ-10024,landslide,31,2.83,0,0,1,0,67.3,high
REQ-10025,flood,1,7.91,1,1,0,1,34.9,critical
REQ-10026,tsunami,9,3.25,1,1,1,1,8.8,critical
REQ-10027,tsunami,4,7.98,0,1,1,0,35.5,critical
REQ-10028,earthquake,13,2.07,0,1,0,0,53.1,high
REQ-10029,wildfire,31,1.46,1,1,1,0,9.6,critical
REQ-10030,cyclone,11,1.01,0,1,1,0,42.2,high
REQ-10031,earthquake,149,2.85,0,1,1,1,3.2,critical
REQ-10032,cyclone,36,6.19,0,0,1,0,40.8,high
REQ-10033,wildfire,6,2.29,1,1,1,1,57.1,critical
REQ-10034,landslide,31,9.39,0,0,0,1,67.2,critical
REQ-10035,flood,2,2.36,1,0,0,1,23.9,high
